password3,
Date,Time,Layer #,Sub. Rot.,Sub. Rot. Speed,Sub. Z Height,C.M. Press.,VAT Press Mode,VAT Pos STPT,VAT Pos Mode,Gas#1 Flow,Gas#1 STPT,Gas#2 Flow,Gas#2 STPT,Gas#3 Flow,Gas#3 STPT,Sub. Temp.,Sub. Temp. STPT,RF#1 W Fbdk,RF#1 DC Bias,RF#1 Plasma,RF#1 Shutter,RF#1 TGT,RF#1 KWH,RF#1 STPT,RF#2 W Fbdk,RF#2 DC Bias,RF#2 Plasma,RF#2 Shutter,RF#2 TGT,RF#2 KWH,RF#2 STPT,RF#3 W Fbdk,RF#3 DC Bias,RF#3 Plasma,RF#3 Shutter,RF#3 TGT,RF#3 KWH,RF#3 STPT,DC#1 W Fdbk,DC#1 V Fdbk,DC#1 mA Fdbk,DC#1 Plasma,DC#1 Shutter,DC#1 TGT,DC#1 KWH,DC#1 STPT,DC#1 MODE,DC#2 W Fdbk,DC#2 V Fdbk,DC#2 mA Fdbk,DC#2 Plasma,DC#2 Shutter,DC#2 TGT,DC#2 KWH,DC#2 STPT,DC#2 MODE,DC#3 W Fdbk,DC#3 V Fdbk,DC#3 mA Fdbk,DC#3 Plasma,DC#3 Shutter,DC#3 TGT,DC#3 KWH,DC#3 STPT,DC#3 MODE,DC SWITCH POS,DC#5 W Fdbk,DC#5 V Fdbk,DC#5 mA Fdbk,DC#5 Plasma,DC#5 Shutter,DC#5 TGT,DC#5 KWH,DC#5 STPT,DC#5 MODE
25-Jun-25,3:52:04 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,548,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:06 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,548,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:08 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,548,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:10 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,548,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:12 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,547,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:14 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,547,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:16 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,546,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:19 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,546,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:21 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,546,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:23 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,546,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:25 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,546,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:27 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,546,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:29 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,546,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:31 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,545,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:33 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,545,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:35 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,544,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:37 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,544,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:39 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,544,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:41 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,544,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:43 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,544,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:46 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,544,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:48 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,544,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:50 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,543,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:52 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,543,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:54 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,542,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:56 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,542,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:52:58 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,542,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:00 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,541,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:02 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,541,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:04 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,541,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:06 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,541,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:08 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,541,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:10 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,541,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:12 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,541,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:14 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,540,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:16 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,540,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:18 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,540,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:21 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,540,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:23 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,540,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:25 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,540,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:27 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,539,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:29 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,539,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:31 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,539,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:33 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,538,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:35 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,538,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:37 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,538,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:39 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,538,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:41 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,537,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:43 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,537,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:45 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,537,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
25-Jun-25,3:53:48 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.33,0.00,0.05,0.00,-0.01,0.00,537,15,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.51,0,Watts
